                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 1.4584,                0.60848,                 1.6558,                0.97122,                0.91231,                0.96595,                0.77582,                  2.293,                 1.1158,                 2.1117,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.4195,                0.59291,                 1.6524,                0.97174,                0.90995,                0.96525,                0.77701,                  2.282,                 1.0989,                 2.1056,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.4448,                0.60159,                 1.6539,                  0.972,                0.91198,                0.96567,                0.77711,                 2.2663,                 1.1732,                 2.0878,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.4216,                 0.5904,                  1.649,                0.96988,                0.91344,                0.96571,                0.77761,                 2.2807,                    1.1,                 2.0995,               0.000713,               0.000713,               0.000713
                     67,                 1.4215,                0.59464,                 1.6519,                0.97071,                0.91103,                0.96491,                0.77718,                 2.2502,                 1.0975,                 2.1208,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.4107,                0.58935,                  1.651,                0.97178,                0.91268,                0.96605,                0.77791,                 2.2652,                 1.1517,                 2.1189,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.4175,                0.58987,                 1.6504,                0.97079,                0.91361,                0.96559,                0.77694,                 2.3176,                 1.1512,                 2.1573,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.4167,                0.59026,                 1.6494,                0.97055,                0.91228,                0.96615,                0.77823,                 2.2923,                  1.163,                 2.1504,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.3965,                0.58239,                 1.6468,                0.97353,                0.91319,                0.96589,                0.77814,                 2.2659,                  1.154,                 2.1351,               0.000614,               0.000614,               0.000614
                     72,                 1.3916,                0.57836,                 1.6478,                0.97084,                0.91481,                0.96673,                0.77829,                 2.2743,                 1.0745,                 2.1496,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.3795,                0.57456,                 1.6443,                 0.9707,                 0.9142,                0.96622,                0.77865,                 2.2597,                   1.07,                 2.1037,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.3788,                0.57757,                 1.6446,                0.97206,                0.91408,                0.96595,                0.77857,                 2.2557,                  1.101,                  2.113,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.3785,                0.57463,                  1.645,                0.97221,                0.91363,                0.96644,                0.77972,                 2.2834,                 1.0868,                 2.1246,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.3751,                0.57154,                 1.6433,                0.96894,                0.91627,                 0.9664,                0.78011,                  2.278,                 1.0676,                 2.1488,               0.000515,               0.000515,               0.000515
                     77,                 1.3681,                0.57028,                 1.6454,                0.96785,                0.91638,                0.96642,                0.78083,                 2.2624,                 1.0231,                 2.1111,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.3611,                0.56629,                 1.6394,                0.97139,                0.91521,                0.96754,                0.78051,                 2.2512,                 1.0648,                  2.104,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.3953,                0.57592,                 1.6439,                0.97337,                0.91415,                0.96681,                0.78097,                 2.2745,                 1.0868,                 2.1207,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.3796,                0.57352,                 1.6437,                0.97109,                0.91643,                0.96773,                0.78112,                 2.2647,                 1.1329,                 2.1329,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.3513,                0.56133,                 1.6395,                0.97332,                0.91405,                0.96675,                0.78176,                 2.2706,                 1.0993,                 2.1404,               0.000416,               0.000416,               0.000416
                     82,                 1.3567,                0.56273,                 1.6394,                0.97177,                0.91485,                 0.9662,                0.78163,                  2.254,                 1.0935,                 2.1248,              0.0003962,              0.0003962,              0.0003962
                     83,                  1.352,                0.56267,                 1.6387,                0.97332,                0.91465,                0.96717,                0.78271,                 2.2234,                 1.1231,                  2.092,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.3451,                0.55966,                 1.6387,                0.97269,                0.91414,                0.96694,                0.78254,                 2.2167,                 1.1263,                 2.0971,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.3305,                0.56141,                 1.6432,                 0.9702,                0.91749,                 0.9679,                0.78333,                 2.2373,                 1.1126,                 2.1097,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.3258,                0.55186,                 1.6387,                0.97212,                0.91552,                0.96767,                0.78361,                 2.2539,                  1.092,                  2.122,               0.000317,               0.000317,               0.000317
                     87,                 1.3194,                0.54847,                 1.6369,                0.97258,                0.91567,                0.96723,                0.78345,                 2.2345,                 1.0891,                 2.1047,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.3259,                0.55158,                 1.6367,                0.97211,                0.91491,                0.96795,                0.78387,                 2.2348,                 1.1042,                 2.0992,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.3295,                  0.552,                 1.6387,                0.97245,                0.91516,                0.96696,                0.78329,                 2.2481,                 1.0933,                 2.1238,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.3476,                0.58072,                 1.6456,                0.97328,                 0.9143,                0.96767,                0.78372,                 2.2212,                 1.0834,                 2.1065,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.8257,                0.72719,                   1.74,                0.97418,                0.91491,                0.96783,                0.78307,                 2.2275,                 1.0707,                 2.0877,               0.000218,               0.000218,               0.000218
                     92,                 1.8193,                0.73146,                 1.7343,                 0.9716,                0.91792,                0.96823,                0.78448,                 2.2277,                 1.0723,                 2.0848,              0.0001982,              0.0001982,              0.0001982
                     93,                  1.793,                0.70873,                 1.7264,                0.97513,                0.91612,                0.96918,                0.78694,                 2.2205,                 1.0701,                 2.0867,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.7894,                0.70494,                 1.7257,                0.97314,                0.91941,                 0.9694,                0.78823,                 2.2129,                  1.075,                 2.0881,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.7811,                0.70328,                  1.725,                 0.9756,                 0.9168,                0.96948,                0.78937,                 2.2054,                 1.0822,                  2.099,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.7893,                0.70378,                 1.7198,                0.97362,                 0.9184,                 0.9693,                0.78977,                 2.1935,                 1.0692,                  2.096,               0.000119,               0.000119,               0.000119
                     97,                 1.7867,                0.70329,                 1.7195,                0.97453,                0.91804,                0.96956,                0.78976,                 2.2061,                 1.0622,                 2.1084,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.7672,                0.70041,                 1.7267,                0.97426,                0.91979,                0.96987,                0.79037,                 2.2092,                 1.0591,                  2.113,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.7622,                0.69222,                  1.716,                0.97486,                0.91847,                0.97023,                0.79064,                 2.2096,                 1.0603,                  2.109,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                  1.757,                0.69047,                   1.72,                0.97567,                0.91906,                0.97038,                0.79098,                 2.1997,                 1.0533,                 2.1062,               3.98e-05,               3.98e-05,               3.98e-05
