                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                 1.6315,                0.71223,                 1.6757,                0.96298,                0.89663,                0.95661,                0.75654,                 2.3584,                 1.1534,                 2.0506,               0.004126,               0.004126,               0.004126
                     91,                 1.5911,                0.68629,                 1.6679,                 0.9626,                0.89894,                0.95612,                0.75502,                 2.3817,                 1.1883,                 2.0675,                0.00406,                0.00406,                0.00406
                     92,                 1.5848,                0.68298,                 1.6666,                0.96337,                0.89867,                0.95707,                0.75604,                 2.3744,                  1.178,                 2.0595,               0.003994,               0.003994,               0.003994
                     93,                  1.598,                0.68907,                 1.6699,                0.96322,                0.89871,                0.95746,                0.75649,                 2.3611,                 1.1817,                 2.0356,               0.003928,               0.003928,               0.003928
                     94,                 1.5985,                0.68697,                 1.6684,                 0.9628,                0.90005,                0.95812,                0.75829,                 2.3254,                 1.1555,                 2.0436,               0.003862,               0.003862,               0.003862
                     95,                 1.5931,                0.68389,                 1.6659,                0.96238,                0.90128,                0.95799,                0.75895,                 2.3272,                 1.2372,                 2.0537,               0.003796,               0.003796,               0.003796
                     96,                 1.5748,                0.70867,                 1.6536,                0.96199,                0.90043,                 0.9572,                0.75759,                 2.3301,                 1.2431,                 2.0543,                0.00373,                0.00373,                0.00373
                     97,                 1.5686,                  0.677,                 1.6647,                0.96344,                0.89856,                0.95802,                0.75951,                 2.3381,                 1.1954,                 2.0507,               0.003664,               0.003664,               0.003664
                     98,                  1.598,                0.68576,                 1.6656,                0.96068,                 0.9022,                0.95802,                0.75916,                 2.3529,                 1.1803,                 2.0557,               0.003598,               0.003598,               0.003598
                     99,                 1.5872,                0.68136,                 1.6647,                0.96021,                 0.9015,                0.95836,                0.75825,                 2.3456,                 1.2125,                 2.0356,               0.003532,               0.003532,               0.003532
                    100,                 1.5633,                0.67481,                 1.6668,                 0.9634,                0.89992,                0.95859,                0.76039,                 2.3366,                 1.2372,                 2.0353,               0.003466,               0.003466,               0.003466
                    101,                  1.558,                0.67048,                 1.6641,                0.96315,                0.90124,                0.95853,                0.75766,                 2.3563,                 1.1899,                 2.0385,                 0.0034,                 0.0034,                 0.0034
                    102,                 1.5466,                0.66607,                 1.6614,                0.96286,                0.90019,                0.95831,                0.75928,                 2.3668,                 1.2017,                 2.0615,               0.003334,               0.003334,               0.003334
                    103,                 1.5603,                0.66969,                 1.6595,                 0.9632,                0.89958,                0.95786,                0.75918,                 2.3651,                 1.1597,                 2.0695,               0.003268,               0.003268,               0.003268
                    104,                 1.5323,                0.65946,                 1.6577,                0.96194,                0.89939,                0.95767,                0.75857,                 2.3324,                 1.1768,                 2.0258,               0.003202,               0.003202,               0.003202
                    105,                 1.5434,                0.66426,                 1.6625,                0.96248,                0.90124,                0.95815,                0.75958,                 2.3255,                 1.1579,                 2.0109,               0.003136,               0.003136,               0.003136
                    106,                 1.5533,                0.66736,                 1.6585,                0.96175,                0.90246,                0.95919,                0.76052,                 2.3437,                 1.1639,                 2.0424,                0.00307,                0.00307,                0.00307
                    107,                 1.5677,                0.67238,                 1.6634,                0.96348,                0.90134,                0.95894,                0.75989,                  2.317,                 1.1495,                  2.033,               0.003004,               0.003004,               0.003004
                    108,                  1.545,                0.66363,                 1.6629,                0.96592,                0.90113,                0.95916,                0.76058,                 2.3614,                 1.1703,                  2.044,               0.002938,               0.002938,               0.002938
                    109,                 1.5215,                0.65344,                 1.6582,                0.96361,                0.90336,                0.95972,                0.76123,                 2.3632,                 1.1472,                 2.0584,               0.002872,               0.002872,               0.002872
                    110,                  1.542,                0.66118,                 1.6598,                0.96687,                0.90114,                 0.9599,                 0.7616,                 2.3411,                 1.1474,                 2.0451,               0.002806,               0.002806,               0.002806
                    111,                 1.5278,                0.65619,                 1.6543,                0.96702,                0.89947,                0.95892,                0.76091,                 2.3409,                 1.1651,                 2.0501,                0.00274,                0.00274,                0.00274
                    112,                   1.51,                0.65016,                 1.6592,                0.96435,                0.90236,                0.95965,                 0.7612,                 2.3268,                 1.1883,                 2.0257,               0.002674,               0.002674,               0.002674
                    113,                 1.5158,                0.65283,                 1.6586,                0.96358,                0.90137,                0.95947,                0.76164,                 2.3343,                 1.1723,                 2.0188,               0.002608,               0.002608,               0.002608
                    114,                 1.5338,                0.65817,                 1.6569,                0.96536,                0.89881,                0.95918,                0.76171,                  2.338,                  1.178,                 2.0209,               0.002542,               0.002542,               0.002542
                    115,                 1.5086,                0.65051,                 1.6546,                0.96265,                 0.9022,                0.95945,                0.76201,                 2.3478,                 1.1689,                 2.0217,               0.002476,               0.002476,               0.002476
