                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                 1.3998,                0.58209,                 1.6477,                0.97103,                0.91101,                0.96531,                0.77667,                 2.2587,                 1.0434,                 2.0831,               0.003862,               0.003862,               0.003862
                     95,                 1.4112,                0.58491,                 1.6457,                0.97022,                0.91228,                 0.9657,                0.77578,                 2.2313,                 1.0924,                 2.0648,               0.003796,               0.003796,               0.003796
                     96,                 1.4297,                0.59555,                 1.6529,                0.96671,                0.91592,                0.96607,                0.77743,                 2.2285,                 1.0635,                 2.0662,                0.00373,                0.00373,                0.00373
                     97,                 1.3888,                0.57837,                 1.6471,                0.96974,                0.91359,                0.96606,                0.77815,                 2.2246,                 1.0938,                 2.0674,               0.003664,               0.003664,               0.003664
                     98,                 1.3999,                0.58195,                 1.6435,                0.96699,                0.91649,                0.96629,                0.77817,                 2.2355,                  1.045,                 2.0588,               0.003598,               0.003598,               0.003598
                     99,                 1.3949,                0.57996,                 1.6441,                0.96712,                0.91557,                0.96576,                0.77792,                 2.2033,                 1.0933,                 2.0535,               0.003532,               0.003532,               0.003532
                    100,                 1.3822,                0.57638,                  1.646,                0.96817,                0.91192,                0.96538,                0.77857,                  2.234,                 1.0592,                 2.0831,               0.003466,               0.003466,               0.003466
                    101,                 1.3754,                0.57209,                 1.6441,                0.96622,                0.91638,                0.96557,                0.77798,                  2.241,                 1.0576,                 2.0928,                 0.0034,                 0.0034,                 0.0034
                    102,                  1.355,                0.56522,                 1.6419,                0.96761,                0.91647,                0.96603,                0.77771,                 2.2513,                 1.0699,                 2.0974,               0.003334,               0.003334,               0.003334
                    103,                 1.3735,                0.57049,                 1.6403,                0.96899,                0.91438,                 0.9658,                0.77823,                 2.2095,                 1.0862,                 2.0724,               0.003268,               0.003268,               0.003268
                    104,                 1.3469,                0.55889,                 1.6397,                0.96996,                0.91544,                0.96618,                 0.7786,                  2.197,                 1.0835,                 2.0562,               0.003202,               0.003202,               0.003202
                    105,                 1.3577,                 0.5652,                 1.6423,                0.96803,                0.91503,                 0.9666,                0.77863,                 2.2301,                 1.0523,                 2.0918,               0.003136,               0.003136,               0.003136
                    106,                  1.363,                0.56713,                 1.6401,                0.96662,                0.91552,                0.96594,                0.77881,                 2.2436,                  1.055,                  2.096,                0.00307,                0.00307,                0.00307
                    107,                 1.3809,                0.57102,                 1.6429,                0.96907,                0.91572,                0.96667,                 0.7791,                 2.2253,                 1.0956,                 2.0927,               0.003004,               0.003004,               0.003004
                    108,                  1.379,                0.57259,                 1.6447,                0.96777,                0.91602,                0.96738,                0.78007,                 2.2372,                 1.0899,                 2.1016,               0.002938,               0.002938,               0.002938
                    109,                 1.3349,                0.55571,                 1.6385,                0.96813,                0.91637,                0.96675,                0.77984,                 2.2293,                 1.0765,                 2.0937,               0.002872,               0.002872,               0.002872
                    110,                 1.3521,                0.56193,                 1.6398,                0.97166,                0.91463,                0.96758,                0.78014,                 2.2362,                 1.0733,                 2.0932,               0.002806,               0.002806,               0.002806
                    111,                 1.3441,                 0.5592,                 1.6343,                0.96885,                0.91643,                0.96674,                 0.7796,                 2.2204,                 1.0726,                 2.0722,                0.00274,                0.00274,                0.00274
                    112,                 1.3443,                0.55884,                 1.6409,                0.96858,                 0.9159,                 0.9666,                0.78037,                 2.2273,                 1.0634,                 2.0698,               0.002674,               0.002674,               0.002674
                    113,                 1.3274,                0.55039,                 1.6374,                0.96731,                0.91658,                  0.967,                0.78068,                 2.2041,                 1.0869,                 2.0663,               0.002608,               0.002608,               0.002608
                    114,                 1.3468,                0.55709,                 1.6385,                0.96743,                0.91722,                0.96665,                0.78042,                 2.1968,                 1.0781,                 2.0665,               0.002542,               0.002542,               0.002542
                    115,                  1.348,                0.56073,                 1.6386,                 0.9673,                0.91793,                0.96705,                0.78034,                 2.1995,                  1.083,                 2.0631,               0.002476,               0.002476,               0.002476
                    116,                  1.331,                0.55059,                 1.6377,                0.96915,                0.91673,                0.96723,                0.78076,                 2.2005,                 1.0571,                 2.0588,                0.00241,                0.00241,                0.00241
                    117,                 1.3281,                0.55126,                 1.6368,                0.96815,                0.91592,                0.96642,                0.78115,                 2.2057,                 1.0607,                 2.0724,               0.002344,               0.002344,               0.002344
                    118,                 1.3348,                  0.554,                 1.6367,                0.96902,                0.91638,                0.96684,                 0.7818,                 2.1998,                 1.0655,                 2.0799,               0.002278,               0.002278,               0.002278
                    119,                 1.3182,                0.54561,                 1.6343,                0.96753,                 0.9171,                0.96667,                0.78142,                 2.2094,                 1.1004,                 2.0871,               0.002212,               0.002212,               0.002212
                    120,                 1.3245,                0.55061,                 1.6364,                0.96821,                0.91735,                0.96667,                0.78201,                 2.1989,                 1.0919,                 2.0859,               0.002146,               0.002146,               0.002146
                    121,                 1.3435,                0.55559,                 1.6355,                0.96873,                0.91744,                0.96671,                0.78166,                 2.2063,                 1.0991,                 2.0848,                0.00208,                0.00208,                0.00208
                    122,                 1.3223,                0.54787,                 1.6352,                0.96814,                0.91774,                0.96688,                0.78185,                 2.2118,                 1.0645,                 2.0861,               0.002014,               0.002014,               0.002014
